round,date_practiced,mode,asof,setup,ticker,andy_verdict,andy_reason,tags,claude_pred,claude_reason,close0,dist_52wh_pct,days_since_52wh,atr_from_sma50,ema21_atr_dist,rs_line_pctl_21,range5_pct,fwd5,fwd10,fwd20,mae20,mfe20,tf
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,ABSI,买,"高ATR新高后回踩21EMA假摔收复,离21EMA 0.69ATR,21线止损","undercut收复,位置贴基底",看,形不齐但没坏,5.28,-11.3,13,2.76,0.69,57,18.8,20.3,29.4,90.8,-2.3,90.8,赢
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,AVGO,买,"21/50首次交叉后第一次回踩21EMA,窄盘整","首次回踩,紧",否,RS弱或回撤深或位置散,421.34,-4.0,7,2.88,0.55,29,7.0,14.1,-7.1,-9.3,-11.8,14.1,赢
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,CASY,否,"跌破21EMA支撑失败,大概率去回踩50",支撑失败,否,RS弱或回撤深或位置散,808.8,-8.9,8,1.47,-0.98,5,8.7,-6.8,-6.0,-1.0,-7.9,13.2,输
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,HLT,看,"高点25天前,ATR2.2太温和不是我的风格",太温吞,看,形不齐但没坏,323.81,-5.5,25,1.08,0.58,48,4.0,2.8,5.8,6.1,0.0,8.2,赢
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,ICHR,看,"undercut rally+4%日想买,但2R=12%不确定够到;等再贴21EMA","涨幅目标存疑,等更近",看,形不齐但没坏,72.73,-5.5,10,2.56,0.94,52,15.2,3.1,-1.6,22.9,-13.5,37.0,输
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,KRYS,买,"新高后第一次回踩21EMA,离高1ATR,通常是好买点","首次回踩,离高近",看,形不齐但没坏,302.68,-4.3,7,2.56,0.78,57,7.7,-3.1,2.3,14.9,-3.1,15.0,赢
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,PSX,看,"高点40天前且跌破21/50,需更长盘整;有RS新高但无4%日","高点太陈,均线下",否,RS弱或回撤深或位置散,173.88,-7.0,40,0.46,0.09,33,6.6,5.0,2.9,-3.0,-4.5,6.2,平
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,STRL,看,"形态对但离21EMA>1ATR,缺条件;<1ATR会特别考虑",离21EMA太远,看,形不齐但没坏,783.53,-11.9,7,4.59,1.32,57,11.0,11.7,7.5,10.7,-1.7,26.8,赢
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,SXI,看,"20天内可能到前高,但不一定会买",,看,形不齐但没坏,269.23,-3.2,25,0.79,1.02,76,10.7,7.1,9.4,17.9,0.0,19.0,赢
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,DBD,看,会去前高但会被砸;贴近21EMA才买,"未回踩,等更近",看,形不齐,79.81,-3.9,28,1.41,1.13,71,12.9,6.3,5.5,-0.4,-4.0,11.2,赢
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,APG,看,反转结构未多头排列,未多头排列,看,形不齐,43.81,-3.3,39,0.78,1.34,100,8.8,2.4,10.7,5.7,0.0,12.8,赢
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,WDFC,看,21处停顿;重回21上则买,等确认,看,形不齐,234.2,-6.6,20,1.84,-0.17,52,6.1,-4.8,-9.5,-10.9,-14.9,0.0,输
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,HWM,看,"首踩21,高点6天前,盘整可冲","首踩,等盘整",看,形不齐,253.68,-4.2,6,3.05,0.63,67,6.8,-5.4,-5.7,-1.5,-12.2,0.0,输
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,BLBD,否,"RS低,图不够紧,不做","RS弱,不紧",看,形不齐,61.76,-4.9,3,1.63,0.9,38,10.8,5.3,1.8,16.4,-0.5,17.3,赢
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,CF,否,"高ATR两次冲顶后首踩,倾向不买",双顶,看,形不齐,125.0,-8.3,6,2.01,0.11,29,23.0,-4.2,-2.9,-5.1,-10.7,1.5,输
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,CNI,否,直接跌破21EMA,跌破21,否,太温吞→非买+21下方未收复,105.54,-5.5,4,1.53,-0.41,48,6.9,-1.0,-7.3,-1.0,-7.3,1.1,输
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,PCVX,买,考虑买,形好,看,形不齐,59.29,-5.9,7,1.95,0.4,76,10.8,-7.9,-7.7,0.9,-10.3,0.9,输
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,CYTK,否,"非多头排列,破50又拉回",未多头排列,买,undercut收复,64.2,-8.4,10,0.11,0.22,57,7.9,-3.2,-6.5,2.4,-6.5,3.9,输
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,AME,否,"50/21缠绕,难判方向",缠绕,看,太温吞→非买,230.45,-4.4,27,0.25,0.67,76,5.3,1.6,5.0,1.3,0.0,5.0,赢
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,CMI,看,看看,,买,undercut收复,679.71,-4.8,21,1.1,0.68,71,8.5,2.8,4.9,-2.0,-2.9,7.0,平
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,WELL,看,偏看或偏买;RS线高但不是我做的票,"RS高,非风格",看,太温吞→非买,206.23,-3.3,15,2.75,0.68,90,5.5,2.6,-5.3,-1.5,-6.1,2.6,输
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,HSY,否,直接跌破21,跌破21,否,太温吞→非买+21下方未收复,215.63,-7.3,7,2.19,-0.74,19,8.9,-0.6,-1.7,-4.6,-7.4,0.5,输
r003,2026-08-21,blind,2026-04-17,fresh_high_pullback,CECO,否,非多头排列+前期暴跌,未多头排列,看,高点陈旧,65.27,-17.5,43,0.62,0.91,43,7.0,-0.6,13.8,23.9,-5.8,34.5,赢
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,NVCR,否,"乱,不够tight,高波动易被扫",不紧,买,undercut收复,13.04,-13.0,7,0.22,0.28,67,16.0,-7.5,-9.4,-19.1,-20.6,0.0,输
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,Q,看,沿10日线走未踩21;觉得会新高,沿10日线,看,形不齐,143.52,-3.9,1,3.1,0.99,57,8.9,14.3,6.4,-1.0,-1.0,17.3,赢
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,RGA,否,温和ATR+非多头排列,"温吞,未多头排列",看,太温吞→非买+高点陈旧,210.39,-5.8,41,0.4,0.99,67,6.5,-1.7,-2.0,1.6,-3.0,1.6,平
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,AME,看,"多头排列但破21,50首踩;-1ATR不会破,+2ATR也许",21/50之间盘整,否,太温吞→非买+21下方未收复,225.6,-6.3,6,0.48,-0.66,19,8.6,-4.6,-4.0,2.0,-7.8,2.0,输
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,PRAX,否,"刚破50/21拉回,需再盘",刚破需盘,否,高点陈旧,333.28,-4.1,50,0.75,0.24,24,12.9,3.7,5.2,-23.8,-23.8,7.2,输
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,LIN,看,"首踩21,回高难说,非我想买",首踩,看,太温吞→非买,481.59,-4.8,4,2.45,-0.19,62,6.3,2.2,1.0,3.4,-1.4,4.0,平
r003,2026-08-21,blind,2026-06-15,fresh_high_pullback,WEC,否,"非多头排列,票慢",未多头排列,看,太温吞→非买+高点陈旧,113.01,-3.2,46,0.39,0.78,67,4.0,0.1,2.4,-0.9,-1.6,4.3,赢
r003,2026-08-21,blind,2026-05-07,fresh_high_pullback,NOVT,否,"太震荡不紧凑,不在多头趋势",不紧,看,高点陈旧,136.28,-6.9,57,1.64,1.08,67,15.0,14.3,13.6,14.7,0.0,23.7,赢
r003,2026-08-21,blind,2026-03-06,fresh_high_pullback,ALX,否,"高点后马上下砸,20天回高难",砸太快,否,21下方未收复,224.17,-7.4,20,0.08,-0.37,57,5.5,4.4,3.1,-1.7,-1.9,6.0,平
r003,2026-08-21,blind,2026-03-10,fresh_high_pullback,PSMT,否,跌破21需盘整,跌破21,否,21下方未收复,147.04,-6.2,6,0.83,-0.52,14,10.8,1.5,0.6,6.2,-4.7,6.2,平
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,CRGY,看,"首踩21,多头趋势但没上冲劲",没劲,看,形不齐,12.53,-6.8,7,2.16,0.03,38,13.9,-4.4,-1.1,2.6,-7.5,9.0,平
