round,date_practiced,mode,asof,setup,ticker,andy_verdict,andy_reason,tags,claude_pred,claude_reason,close0,dist_52wh_pct,days_since_52wh,atr_from_sma50,ema21_atr_dist,rs_line_pctl_21,range5_pct,fwd5,fwd10,fwd20,mae20,mfe20
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,ABSI,买,"高ATR新高后回踩21EMA假摔收复,离21EMA 0.69ATR,21线止损","undercut收复,位置贴基底",看,形不齐但没坏,5.28,-11.3,13,2.76,0.69,57,18.8,20.3,29.4,90.8,-2.3,90.8
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,AVGO,买,"21/50首次交叉后第一次回踩21EMA,窄盘整","首次回踩,紧",否,RS弱或回撤深或位置散,421.34,-4.0,7,2.88,0.55,29,7.0,14.1,-7.1,-9.3,-11.8,14.1
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,CASY,否,"跌破21EMA支撑失败,大概率去回踩50",支撑失败,否,RS弱或回撤深或位置散,808.8,-8.9,8,1.47,-0.98,5,8.7,-6.8,-6.0,-1.0,-7.9,13.2
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,HLT,看,"高点25天前,ATR2.2太温和不是我的风格",太温吞,看,形不齐但没坏,323.81,-5.5,25,1.08,0.58,48,4.0,2.8,5.8,6.1,0.0,8.2
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,ICHR,看,"undercut rally+4%日想买,但2R=12%不确定够到;等再贴21EMA","涨幅目标存疑,等更近",看,形不齐但没坏,72.73,-5.5,10,2.56,0.94,52,15.2,3.1,-1.6,22.9,-13.5,37.0
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,KRYS,买,"新高后第一次回踩21EMA,离高1ATR,通常是好买点","首次回踩,离高近",看,形不齐但没坏,302.68,-4.3,7,2.56,0.78,57,7.7,-3.1,2.3,14.9,-3.1,15.0
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,PSX,看,"高点40天前且跌破21/50,需更长盘整;有RS新高但无4%日","高点太陈,均线下",否,RS弱或回撤深或位置散,173.88,-7.0,40,0.46,0.09,33,6.6,5.0,2.9,-3.0,-4.5,6.2
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,STRL,看,"形态对但离21EMA>1ATR,缺条件;<1ATR会特别考虑",离21EMA太远,看,形不齐但没坏,783.53,-11.9,7,4.59,1.32,57,11.0,11.7,7.5,10.7,-1.7,26.8
r001,2026-08-21,blind,2026-05-26,fresh_high_pullback,SXI,看,"20天内可能到前高,但不一定会买",,看,形不齐但没坏,269.23,-3.2,25,0.79,1.02,76,10.7,7.1,9.4,17.9,0.0,19.0
r003,2026-08-21,blind,2026-04-08,fresh_high_pullback,DBD,看,会去前高但会被砸;贴近21EMA才买,"未回踩,等更近",看,形不齐,79.81,-3.9,28,1.41,1.13,71,12.9,6.3,5.5,-0.4,-4.0,11.2
