date,x_followers,x_week_views,substack_subs,discord_members,whop_members,mrr_usd,notes
# 口径备忘（本行无数据·勿删）：discord_members 一律真人口径（不含 bot 与 owner）——08-24 行的 39 是含 bot 的旧口径已标注；substack_subs 长期为空不是漏记：Substack 公开页不暴露订阅数（08-28 实测证伪 /about 与 / 与 /archive 三处）唯一取数路径是 Andy 后台 Total subscribers 口述或截图 详见 README.md「substack_subs 取数 SOP」——别再每周重试公开页。
2026-08-24,,,,,30,,Whop店面实测:30 members·5.0(3评);30天入账$222.83;X/Substack/Discord列待抓
2026-08-24,,337,,39,30,1139,后台全量:历史收入~23647;续费11;7d访客7/浏览18/结账0;discord真人30+bot9;⚠️本行discord_members=39是含bot口径(真人30+bot9)非真人口径——08-25设置页全表实读更正为真人34+bot10+owner1=45(见weekly/2026-08-25-paypal-reconcile.md「Discord逐人对账」表);x_week_views=337=上一完整ISO周08-17~08-23两帖views合计(来源:data/content/posts.csv;聚合日2026-08-31;同日两行只在本行记以免重复计)
2026-08-25,,,,34,38,1052,"真实人头38(三次身份合并后);Lifetime9人全部在群内(08-31核:members.csv曾有10行tier=lifetime;G002系被推翻的线索B残迹已更正);付费但无Discord绑定=0;Lifetime渠道:Whop6/PayPal2/支付宝1;MRR1052=后台实读可见产品,另归档Premium++旧档+383未计入本列,前瞻下限约1478;⚠️支付宝渠道仅凭Andy手工log,无系统流水;discord_members=34是真人口径(不含10个bot与owner;服务器总员额45)08-25设置页全表实读"
2026-08-31,,784,,,,,x_week_views=784=上一完整ISO周08-24~08-30六帖views合计(来源:data/content/posts.csv@origin/main;聚合日2026-08-31);⚠️该值是下限——posts.csv的views是每帖最后一次抄录的快照且抄录时点不一(08-28两帖自注「基线T+0」);本行其余列本周未测量:x_followers=公开页实测取不到(WebFetch x.com/Fluxus_Z 返回HTTP402·08-31)——此前写的「无自动源」是未经检验的说法·现已实测并立SOP见README;substack_subs=公开页不暴露(08-28已证伪三处);discord_members/whop_members/mrr_usd最近实读见08-25行——按铁口径留空不结转
2026-09-07,,501,,,,,x_week_views=501=上一完整ISO周08-31~09-06四帖views合计(来源:data/content/posts.csv@origin/main;聚合日2026-09-07;四帖views均为09-06自X复读的快照——成熟度优于历史行);⚠️同一份posts.csv重算上周W35(08-24~08-30)已从当时记录的784长到1025(两帖08-28自注「基线T+0」的早读数已被09-06复读覆盖)——旧行是当时快照按SOP不回填;同一抄录日下W35→W36=1025→501(但W36帖龄3~6天·W35帖龄8~13天·仍会长);本行其余列本周未测量:x_followers=公开页网关层拒绝(WebFetch x.com/Fluxus_Z HTTP402·08-31实测)按README SOP不再每周重试公开页·只接Andy口述或截图;substack_subs=公开页不暴露(08-28已证伪三处);discord_members/whop_members/mrr_usd自08-25实地盘点后无新盘点——按铁口径留空不结转
2026-09-12,,,,,,1308,"MRR=1308(Whop后台档位在档人数实读·30天归一·与08-25行同口径可比):Premium $240/3月×8=632 + $900/年×3=222 + $99/月×2=198;Premium++新档 $149/月×1=149 + $1300/年×1=107;⚠️不含Premium++旧档(prod_0WddY2iwoTitp·已归档页面打不开)——08-25实读时它贡献约+583,本次未重量故未计入,所以1308与08-25的1052同口径可比(都只算可见产品),但都不是全量MRR;Δ vs 08-25: +256(+24%);Premium产品active users 10→12,累计收入7446→8265(+819);whop_members留空:Whop客户列表原始42(08-26时40)含Andy与员工号与已流失者,与本列person去重口径(08-25=38)不可比,本次未重算身份合并;discord_members本次未盘点;x_followers/substack_subs按README SOP不重试公开页;x_week_views本周W37未完整故不记;⚠️新增一个Premium++ $400/3个月档(0人·非增长线所加);⚠️3人Trialing中:两人5天前入(正常),一人已17天仍Trialing(7天试用应早已结束·异常待查)"
2026-09-13,,,,,41,,"whop_members=41=08-25 同口径真实人头38 + 新人3(G043/G044/G045,全是试用,零付款)。Whop 后台 09-13 逐条实读:memberships 61(Active 40 含一次性课程15与试用4/免费2)·payments 77;08-25 后新增 5 笔全是存量续费($240/3月×4 + $99/月×1),无新付费人。状态变化:G040 canceling→active(改季付,挽留成功)·G036 canceling→expired(流失)→付费人头净 -1。⚠️ G043 同邮箱第二次 7 天试用(与 G036 同形,试用漏洞第 2 例);G045 同时试用两档。mrr_usd 不变沿用 09-12 行 1308(试用不计),本行留空。09-12 行 whop_members 留空作废,以本行为准。"
2026-09-14,275,2778,,,,,x_followers=275(来源:data/content/x_watch/own_account.csv@origin/main末行;date_et 2026-09-13;twitterapi.io /twitter/user/info;fetched 2026-09-13T17:04Z;Steve日调研·09-13契约行54b98d1f)——建表以来首个实测值;x_week_views=2778=上一完整ISO周09-07~09-13八帖views合计(来源:data/content/posts.csv@origin/main;聚合日2026-09-14);⚠️一条回复@DarioAmodei占2275(82%)·去掉它余503与W36的501持平;09-07~09-09 posts.csv无行(09-12补录前账停在09-03·可能漏账)故为下限;同日重算W35=1072(09-07时1025)·W36=501(未复读);substack_subs=公开页不暴露(08-28已证伪)未测量;discord_members本周未盘点;whop_members/mrr_usd最近实读见09-13行(41)与09-12行(1308)——按铁口径留空不结转
2026-09-19,283,44,,,,,x_followers=283(来源:data/content/x_watch/own_account.csv@origin/main末行；date_et 2026-09-18；twitterapi.io /twitter/user/info；fetched 2026-09-18T17:04:58Z；Steve日调研)；x_week_views=44=本周(09-15~09-21)至2026-09-19止两条帖子views合计(来源:data/content/posts.csv@origin/main；聚合日2026-09-19；09-15~09-20未见新帖)；substack_subs公开页不暴露(08-28已证伪)未测量；discord_members本周未盘点；whop_members/mrr_usd本周未盘点(按铁口径留空不结转)
2026-09-21,285,44,,,,,x_followers=285(来源:data/content/x_watch/own_account.csv@origin/main末行；date_et 2026-09-20；twitterapi.io /twitter/user/info；fetched 2026-09-20T17:04:45Z；Steve日调研)；x_week_views=44=本周(09-15~09-21)完整周views合计(来源:data/content/posts.csv@origin/main；聚合日2026-09-21；09-19后无新帖)；substack_subs公开页不暴露(08-28已证伪)未测量；discord_members本周未盘点；whop_members/mrr_usd本周未盘点(按铁口径留空不结转)
2026-09-22,,,,,18,,【Whop脚本段】Whop API /v1/memberships 游标分页2页共66条(按user去重43人)；取数 2026-09-22T21:09+0900；status: active=19 canceled=24 completed=21 expired=1 trialing=1；whop_members=口径A 在档订阅付费人(status∈active|past_due·Premium与Premium++新旧三产品·按user去重·Andy 09-22定)=18(其中到期不续2)；试用trialing=1人(单列不计付费)；一次性课程completed=15人；候选B /v1/members customer且joined=33；与09-13及以前的手工台账口径(身份合并真实人头·41)不可比·见README【/Whop脚本段】
